Date,Nominal Prices
Jan-73,18.3
Feb-73,18.3
Mar-73,18.3
Apr-73,18.7
May-73,18.7
Jun-73,18.9
Jul-73,19.2
Aug-73,19.5
Sep-73,19.7
Oct-73,19.8
Nov-73,19.9
Dec-73,19.9
Jan-74,20
Feb-74,20.2
Mar-74,20.7
Apr-74,20.3
May-74,20.5
Jun-74,21.1
Jul-74,21.2
Aug-74,21.2
Sep-74,21.3
Oct-74,21.5
Nov-74,21.9
Dec-74,21.9
Jan-75,22.3
Feb-75,22.3
Mar-75,22.3
Apr-75,22.6
May-75,22.9
Jun-75,23.1
Jul-75,23.1
Aug-75,22.9
Sep-75,23.1
Oct-75,23.2
Nov-75,23.4
Dec-75,23.6
Jan-76,23.4
Feb-76,23.4
Mar-76,23.5
Apr-76,23.9
May-76,24.3
Jun-76,24.5
Jul-76,24.7
Aug-76,24.6
Sep-76,24.6
Oct-76,24.8
Nov-76,25
Dec-76,25.2
Jan-77,25.6
Feb-77,25.7
Mar-77,25.8
Apr-77,26
May-77,26.4
Jun-77,26.9
Jul-77,27.2
Aug-77,27.6
Sep-77,27.8
Oct-77,28
Nov-77,28.2
Dec-77,28.5
Jan-78,28.9
Feb-78,29.2
Mar-78,29.6
Apr-78,30
May-78,30.2
Jun-78,30.6
Jul-78,30.9
Aug-78,31.2
Sep-78,31.4
Oct-78,31.7
Nov-78,32
Dec-78,32.2
Jan-79,32.4
Feb-79,32.5
Mar-79,32.8
Apr-79,33.2
May-79,33.8
Jun-79,34.4
Jul-79,34.8
Aug-79,35.2
Sep-79,35.4
Oct-79,35.6
Nov-79,35.8
Dec-79,36.1
Jan-80,36.5
Feb-80,36.7
Mar-80,37
Apr-80,37.3
May-80,37.4
Jun-80,37.7
Jul-80,38
Aug-80,38.1
Sep-80,38.5
Oct-80,38.9
Nov-80,39.3
Dec-80,39.5
Jan-81,39.8
Feb-81,40.1
Mar-81,40.1
Apr-81,40.3
May-81,40.4
Jun-81,40.5
Jul-81,40.7
Aug-81,40.7
Sep-81,40.8
Oct-81,40.9
Nov-81,41.1
Dec-81,41
Jan-82,41.3
Feb-82,41.3
Mar-82,41.5
Apr-82,41.5
May-82,41.7
Jun-82,41.7
Jul-82,41.7
Aug-82,42
Sep-82,42.3
Oct-82,42.1
Nov-82,42.1
Dec-82,42.2
Jan-83,42.5
Feb-83,42.7
Mar-83,42.8
Apr-83,42.6
May-83,42.5
Jun-83,42.6
Jul-83,42.7
Aug-83,42.8
Sep-83,42.9
Oct-83,43.3
Nov-83,43.3
Dec-83,43.4
Jan-84,43.8
Feb-84,44.1
Mar-84,44.2
Apr-84,44.1
May-84,44.1
Jun-84,44.2
Jul-84,44.4
Aug-84,44.8
Sep-84,45
Oct-84,45
Nov-84,45
Dec-84,45
Jan-85,45.2
Feb-85,45.3
Mar-85,45.5
Apr-85,45.2
May-85,45
Jun-85,45
Jul-85,45
Aug-85,45.2
Sep-85,45.4
Oct-85,45.7
Nov-85,45.9
Dec-85,46.1
Jan-86,46.5
Feb-86,46.6
Mar-86,46.7
Apr-86,46.8
May-86,47
Jun-86,47.3
Jul-86,47.6
Aug-86,47.6
Sep-86,47.8
Oct-86,48.2
Nov-86,48.6
Dec-86,48.8
Jan-87,49.2
Feb-87,49.2
Mar-87,49.2
Apr-87,49.3
May-87,49.4
Jun-87,49.5
Jul-87,49.7
Aug-87,49.8
Sep-87,49.8
Oct-87,50
Nov-87,50.2
Dec-87,50.6
Jan-88,51.2
Feb-88,51.4
Mar-88,51.4
Apr-88,51.3
May-88,51.4
Jun-88,51.4
Jul-88,51.4
Aug-88,51.6
Sep-88,51.8
Oct-88,51.9
Nov-88,52.2
Dec-88,52.3
Jan-89,52.6
Feb-89,53
Mar-89,53
Apr-89,53.4
May-89,53.7
Jun-89,53.7
Jul-89,53.9
Aug-89,53.8
Sep-89,53.9
Oct-89,54.1
Nov-89,54.1
Dec-89,54.5
Jan-90,55
Feb-90,55
Mar-90,55.1
Apr-90,55.1
May-90,55.1
Jun-90,55.4
Jul-90,55.8
Aug-90,55.8
Sep-90,55.7
Oct-90,55.7
Nov-90,55.8
Dec-90,55.7
Jan-91,55.8
Feb-91,55.7
Mar-91,55.4
Apr-91,55.4
May-91,55.5
Jun-91,55.8
Jul-91,56
Aug-91,56.2
Sep-91,56.3
Oct-91,56.2
Nov-91,56.1
Dec-91,56.1
Jan-92,56.4
Feb-92,56.5
Mar-92,56.5
Apr-92,56.6
May-92,56.5
Jun-92,56.7
Jul-92,56.9
Aug-92,57
Sep-92,57.2
Oct-92,57.7
Nov-92,58
Dec-92,58.3
Jan-93,58.7
Feb-93,58.9
Mar-93,59
Apr-93,59.1
May-93,59.3
Jun-93,59.7
Jul-93,59.9
Aug-93,60.1
Sep-93,60.3
Oct-93,60.5
Nov-93,60.9
Dec-93,61.1
Jan-94,61.3
Feb-94,61.5
Mar-94,61.5
Apr-94,61.5
May-94,61.7
Jun-94,62.1
Jul-94,62.3
Aug-94,62.7
Sep-94,63.1
Oct-94,63.4
Nov-94,63.8
Dec-94,64.4
Jan-95,64.6
Feb-95,64.8
Mar-95,64.8
Apr-95,64.9
May-95,65
Jun-95,65.2
Jul-95,65.1
Aug-95,65.4
Sep-95,65.6
Oct-95,65.6
Nov-95,65.6
Dec-95,65.6
Jan-96,65.6
Feb-96,65.8
Mar-96,65.7
Apr-96,65.6
May-96,65.8
Jun-96,66.2
Jul-96,66.6
Aug-96,66.8
Sep-96,66.8
Oct-96,67
Nov-96,67.1
Dec-96,67.3
Jan-97,67.6
Feb-97,67.6
Mar-97,67.6
Apr-97,67.8
May-97,67.8
Jun-97,68.1
Jul-97,68.4
Aug-97,68.6
Sep-97,69
Oct-97,69.2
Nov-97,69.3
Dec-97,69.3
Jan-98,69.4
Feb-98,69.2
Mar-98,69.2
Apr-98,69.4
May-98,69.5
Jun-98,70
Jul-98,70.3
Aug-98,70.4
Sep-98,70.4
Oct-98,70.8
Nov-98,71.2
Dec-98,71.6
Jan-99,72
Feb-99,72.1
Mar-99,72.3
Apr-99,72.7
May-99,73
Jun-99,73.3
Jul-99,73.6
Aug-99,73.6
Sep-99,73.7
Oct-99,73.9
Nov-99,74.3
Dec-99,74.6
Jan-00,75.5
Feb-00,75.8
Mar-00,76
Apr-00,76.2
May-00,76.4
Jun-00,76.7
Jul-00,76.9
Aug-00,76.9
Sep-00,77.1
Oct-00,77.2
Nov-00,77.3
Dec-00,77.7
1-Jan,78.2
1-Feb,78.4
1-Mar,78.6
