Date,Real Price of Lumber
1/1/1973,145.3714286
2/1/1973,156.7105263
3/1/1973,164.9727273
4/1/1973,157.6575
5/1/1973,134.1409091
6/1/1973,127.5904762
7/1/1973,134.6047619
8/1/1973,151.2426087
9/1/1973,132.8105263
10/1/1973,134.2921739
11/1/1973,134.6428571
12/1/1973,131.8684211
1/1/1974,128.9590909
2/1/1974,150.2957895
3/1/1974,167.2047619
4/1/1974,155.26
5/1/1974,140.1818182
6/1/1974,139.211
7/1/1974,130.3954545
8/1/1974,129.6509091
9/1/1974,114.45
10/1/1974,105.6791304
11/1/1974,113.6421053
12/1/1974,113.1771429
1/1/1975,125.0227273
2/1/1975,125.8610526
3/1/1975,133.08
4/1/1975,147.3809091
5/1/1975,150.352381
6/1/1975,144.3647619
7/1/1975,145.8681818
8/1/1975,127.1809524
9/1/1975,122.6
10/1/1975,121.2704348
11/1/1975,143.3842105
12/1/1975,148.2342857
1/1/1976,161.7857143
2/1/1976,165.0989474
3/1/1976,163.7347826
4/1/1976,159.7552381
5/1/1976,154.17
6/1/1976,152.6918182
7/1/1976,153.647619
8/1/1976,159.3845455
9/1/1976,160.6714286
10/1/1976,159.5190476
11/1/1976,176.085
12/1/1976,183.6885714
1/1/1977,182.8190476
2/1/1977,186.4610526
3/1/1977,192.2217391
4/1/1977,182.74
5/1/1977,182.4380952
6/1/1977,182.7509091
7/1/1977,185.9894737
8/1/1977,204.86
9/1/1977,188.7333333
10/1/1977,181.7790476
11/1/1977,190.1333333
12/1/1977,205.8247619
1/1/1978,209.9238095
2/1/1978,216.4494737
3/1/1978,211.2227273
4/1/1978,207.73
5/1/1978,209.4
6/1/1978,205.7445455
7/1/1978,207.045
8/1/1978,214.0426087
9/1/1978,207.33
10/1/1978,224.2818182
11/1/1978,202.9052632
12/1/1978,219.338
1/1/1979,221.25
2/1/1979,235.7094737
3/1/1979,217.1590909
4/1/1979,218.486
5/1/1979,227.6636364
6/1/1979,230.3952381
7/1/1979,235.3
8/1/1979,268.6747826
9/1/1979,250.2789474
10/1/1979,240.4582609
11/1/1979,215.6095238
12/1/1979,214.0568421
1/1/1980,222.6409091
2/1/1980,224.296
3/1/1980,202.9142857
4/1/1980,167.4409524
5/1/1980,184.8571429
6/1/1980,192.3238095
7/1/1980,207.2863636
8/1/1980,195.4704762
9/1/1980,184.1666667
10/1/1980,175.3930435
11/1/1980,180.2111111
12/1/1980,162.3771429
1/1/1981,181.2952381
2/1/1981,168.0357895
3/1/1981,172.2318182
4/1/1981,176.9019048
5/1/1981,184.765
6/1/1981,186.1118182
7/1/1981,188.3636364
8/1/1981,161.5314286
9/1/1981,148.252381
10/1/1981,136.01
11/1/1981,148.005
12/1/1981,152.4481818
1/1/1982,151.955
2/1/1982,141.8726316
3/1/1982,143.7391304
4/1/1982,135.1447619
5/1/1982,139.63
6/1/1982,136.8209091
7/1/1982,138.5428571
8/1/1982,132.6527273
9/1/1982,135.9904762
10/1/1982,140.2704762
11/1/1982,165
