Date,Real Prices,Nominal Prices
Jan-73,18.9,18.3
Feb-73,18.9,18.3
Mar-73,19.1,18.3
Apr-73,19.3,18.7
May-73,19.5,18.7
Jun-73,19.6,18.9
Jul-73,19.9,19.2
Aug-73,20.2,19.5
Sep-73,20.4,19.7
Oct-73,20.5,19.8
Nov-73,20.6,19.9
Dec-73,20.6,19.9
Jan-74,20.8,20
Feb-74,20.9,20.2
Mar-74,21.4,20.7
Apr-74,21.1,20.3
May-74,21.3,20.5
Jun-74,21.8,21.1
Jul-74,22,21.2
Aug-74,22,21.2
Sep-74,22.1,21.3
Oct-74,22.4,21.5
Nov-74,22.6,21.9
Dec-74,22.8,21.9
Jan-75,23.1,22.3
Feb-75,23.1,22.3
Mar-75,23.1,22.3
Apr-75,23.3,22.6
May-75,23.7,22.9
Jun-75,23.8,23.1
Jul-75,23.8,23.1
Aug-75,23.7,22.9
Sep-75,23.9,23.1
Oct-75,24,23.2
Nov-75,24.2,23.4
Dec-75,24.4,23.6
Jan-76,24.2,23.4
Feb-76,24.2,23.4
Mar-76,24.3,23.5
Apr-76,24.6,23.9
May-76,25.1,24.3
Jun-76,25.4,24.5
Jul-76,25.5,24.7
Aug-76,25.5,24.6
Sep-76,25.5,24.6
Oct-76,25.7,24.8
Nov-76,25.9,25
Dec-76,26.1,25.2
Jan-77,26.6,25.6
Feb-77,26.8,25.7
Mar-77,27,25.8
Apr-77,27.2,26
May-77,27.6,26.4
Jun-77,27.9,26.9
Jul-77,28.3,27.2
Aug-77,28.5,27.6
Sep-77,28.7,27.8
Oct-77,29,28
Nov-77,29.3,28.2
Dec-77,29.7,28.5
Jan-78,30,28.9
Feb-78,30.3,29.2
Mar-78,30.5,29.6
Apr-78,30.8,30
May-78,31.2,30.2
Jun-78,31.3,30.6
Jul-78,31.6,30.9
Aug-78,32,31.2
Sep-78,32.5,31.4
Oct-78,32.9,31.7
Nov-78,33.3,32
Dec-78,33.6,32.2
Jan-79,33.9,32.4
Feb-79,34.2,32.5
Mar-79,34.4,32.8
Apr-79,34.8,33.2
May-79,35.2,33.8
Jun-79,35.7,34.4
Jul-79,36.2,34.8
Aug-79,36.5,35.2
Sep-79,36.8,35.4
Oct-79,37,35.6
Nov-79,37.3,35.8
Dec-79,37.6,36.1
Jan-80,38.1,36.5
Feb-80,38.4,36.7
Mar-80,38.6,37
Apr-80,39,37.3
May-80,39.2,37.4
Jun-80,39.6,37.7
Jul-80,40.1,38
Aug-80,40.3,38.1
Sep-80,40.5,38.5
Oct-80,40.7,38.9
Nov-80,41,39.3
Dec-80,41.3,39.5
Jan-81,41.6,39.8
Feb-81,41.9,40.1
Mar-81,42,40.1
Apr-81,42.3,40.3
May-81,42.6,40.4
Jun-81,42.7,40.5
Jul-81,42.7,40.7
Aug-81,42.8,40.7
Sep-81,43,40.8
Oct-81,43.2,40.9
Nov-81,43.5,41.1
Dec-81,43.5,41
Jan-82,43.4,41.3
Feb-82,43.4,41.3
Mar-82,43.5,41.5
Apr-82,43.6,41.5
May-82,43.5,41.7
Jun-82,43.4,41.7
Jul-82,43.2,41.7
Aug-82,43.4,42
Sep-82,43.6,42.3
Oct-82,43.5,42.1
Nov-82,43.7,42.1
Dec-82,43.7,42.2
Jan-83,44,42.5
Feb-83,44.1,42.7
Mar-83,44,42.8
Apr-83,44,42.6
May-83,44.3,42.5
Jun-83,44.4,42.6
Jul-83,44.6,42.7
Aug-83,44.7,42.8
Sep-83,44.9,42.9
Oct-83,45.2,43.3
Nov-83,45.4,43.3
Dec-83,45.6,43.4
Jan-84,45.8,43.8
Feb-84,46,44.1
Mar-84,46.1,44.2
Apr-84,46.1,44.1
May-84,46.2,44.1
Jun-84,46.5,44.2
Jul-84,46.5,44.4
Aug-84,46.9,44.8
Sep-84,47.3,45
Oct-84,47.5,45
Nov-84,47.6,45
Dec-84,47.5,45
Jan-85,47.7,45.2
Feb-85,47.5,45.3
Mar-85,47.6,45.5
Apr-85,47.5,45.2
May-85,47.4,45
Jun-85,47.5,45
Jul-85,47.6,45
Aug-85,47.8,45.2
Sep-85,48,45.4
Oct-85,48.2,45.7
Nov-85,48.4,45.9
Dec-85,48.8,46.1
Jan-86,49.1,46.5
Feb-86,49.2,46.6
Mar-86,49.3,46.7
Apr-86,49.5,46.8
May-86,49.8,47
Jun-86,50.2,47.3
Jul-86,50.4,47.6
Aug-86,50.6,47.6
Sep-86,50.8,47.8
Oct-86,51.1,48.2
Nov-86,51.5,48.6
Dec-86,51.8,48.8
Jan-87,52.1,49.2
Feb-87,52.1,49.2
Mar-87,52.2,49.2
Apr-87,52.4,49.3
May-87,52.4,49.4
Jun-87,52.6,49.5
Jul-87,52.7,49.7
Aug-87,52.8,49.8
Sep-87,52.8,49.8
Oct-87,53,50
Nov-87,53.3,50.2
Dec-87,53.7,50.6
Jan-88,54.1,51.2
Feb-88,54.3,51.4
Mar-88,54.1,51.4
Apr-88,54.1,51.3
May-88,54.3,51.4
Jun-88,54.3,51.4
Jul-88,54.3,51.4
Aug-88,54.5,51.6
Sep-88,54.8,51.8
Oct-88,54.9,51.9
Nov-88,55.2,52.2
Dec-88,55.2,52.3
Jan-89,55.4,52.6
Feb-89,55.6,53
Mar-89,55.8,53
Apr-89,56.1,53.4
May-89,56.3,53.7
Jun-89,56.3,53.7
Jul-89,56.5,53.9
Aug-89,56.6,53.8
Sep-89,56.8,53.9
Oct-89,56.8,54.1
Nov-89,56.8,54.1
Dec-89,57,54.5
Jan-90,57.2,55
Feb-90,57.4,55
Mar-90,57.5,55.1
Apr-90,57.6,55.1
May-90,57.6,55.1
Jun-90,57.9,55.4
Jul-90,58.2,55.8
Aug-90,58.2,55.8
Sep-90,58.2,55.7
Oct-90,58.1,55.7
Nov-90,58.5,55.8
Dec-90,58.5,55.7
Jan-91,58.5,55.8
Feb-91,58.4,55.7
Mar-91,58,55.4
Apr-91,57.9,55.4
May-91,58,55.5
Jun-91,58.3,55.8
Jul-91,58.4,56
Aug-91,58.5,56.2
Sep-91,58.6,56.3
Oct-91,58.3,56.2
Nov-91,58.2,56.1
Dec-91,58.1,56.1
Jan-92,58.4,56.4
Feb-92,58.4,56.5
